"ID_STAZ";"LAT";"LON";"GBEST";"GBNORD";"tot.precipitation.mm";"days.no.precipitation";"mean.dailyMeanTemp";"range.dailyMeanTemp";"mean.dailyMaxTemp";"mean.dailyMinTemp"
231;45,032;11,826;1722631;4990567;958;237;14,0191256830601;29,6;18,9855191256831;9,57622950819672
232;45,784;11,73;1712258;5073804;1399,4;229;14,1756830601093;27,9;18,805737704918;10,5502732240437
234;45,397;11,88;1725465;5031295;1133,8;245;14,4557692307692;29,6;18,7598901098901;10,8431318681319
235;46,277;12,242;1749855;5130088;1507,4;221;9,71639344262295;28,4;15,0737704918033;6,01584699453552
236;46,179;12,396;1762187;5119735;1839,4;204;10,2301104972376;28,5;14,7077348066298;6,91408839779006
237;46,536;12,127;1739833;5158457;1065,6;205;7,13196721311475;30;12,4989071038251;2,90081967213115
238;46,575;12,25;1749057;5163251;1209,2;206;4,07933884297521;30,4;8,84077134986226;0,281818181818182
239;46,295;11,929;1725599;5131136;1283,2;211;7,96639344262295;29,3;13,8327868852459;4,31284153005465
245;45,924;11,939;1727948;5089994;1704;225;12,2180327868852;29,2;16,783606557377;8,65628415300546
246;46,578;12,575;1773984;5164594;1243,4;215;7,06229508196721;30,8;12,6653005464481;2,94508196721311
247;46,593;12,515;1769316;5166067;1162,2;206;6,95409836065574;29,4;12,216393442623;3,12568306010929
248;45,948;11,612;1702486;5091759;1361,8;212;4,43005464480874;31,1;11,0349726775956;-2,00819672131148
251;45,618;11,038;1658971;5053801;1340,4;230;9,66639344262295;27,2;12,9341530054645;6,64016393442623
252;45,429;12,328;1760365;5036127;892,2;255;15,1563535911602;29,5;18,0337016574586;12,3279005524862
253;45,359;10,732;1635660;5024480;981,6;228;14,175138121547;30;19,3201657458564;9,82983425414365
262;45,896;11,806;1717709;5086487;2155,6;216;7,15877437325905;28,4;11,2980501392758;4,04373259052925
264;46,163;12,245;1750557;5117453;1423;216;11,0464480874317;30,2;17,0948087431694;6,02814207650273
266;46,077;12,072;1737599;5107373;1349,6;208;11,1622950819672;30,7;17,8185792349727;5,90792349726776
268;46,486;12,584;1775145;5154420;1399,4;199;3,82326869806094;30,1;8,08698060941828;0,300277008310249
425;45,64;13,077;1817759;5062307;1254;226;14,2254901960784;28,9;18,43081232493;9,84593837535014
451;45,526;11,524;1697164;5044624;1177,8;202;13,557650273224;30,3;19,1087431693989;8,30655737704918
454;45,519;12,279;1756125;5046000;1075,8;232;13,1275956284153;30,2;19,4232240437158;7,58852459016393
