FID,statcd,statnm,descrizione,dataora,media,minimo,massimo,media_lbl,geom,cd
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e3,142,Faedo (Cinto Euganeo),Temperatura aria a 2m,2024-05-27T00:00:00,20.2,15.1,25.6,20.2,POINT (1711521.295 5020363.087),852
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e4,139,Lusiana,Temperatura aria a 2m,2024-05-27T00:00:00,17.1,12.1,21.6,17.1,POINT (1701210 5073345),2190
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e5,60,Malga Campobon (San Pietro di Cadore),Temperatura aria a 2m,2024-05-27T00:00:00,7.9,6,11.2,7.9,POINT (1775801 5172010),1918
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e6,61,Cordevole di Visdende a Cima Canale,Temperatura aria a 2m,2024-05-27T00:00:00,11.3,7.9,18.4,11.3,POINT (1778097 5167374),1922
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e7,151,Masi,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,13.5,27.4,21.3,POINT (1695161.436 4999004.169),981
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e8,152,Balduina (Sant'Urbano),Temperatura aria a 2m,2024-05-27T00:00:00,21.2,13.9,27.6,21.2,POINT (1703223.341 5001186.28),998
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e9,67,Monte Avena,Temperatura aria a 2m,2024-05-27T00:00:00,12.1,9.6,15,12.1,POINT (1718812 5101524),1934
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ea,169,Agna,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,13.9,27.5,21.3,POINT (1732500.309 5004919.995),1206
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78eb,175,Codevigo,Temperatura aria a 2m,2024-05-27T00:00:00,20.6,13.8,25.6,20.6,POINT (1743297 5014716),1289
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ec,177,Grantorto,Temperatura aria a 2m,2024-05-27T00:00:00,20.8,13,26.8,20.8,POINT (1714687 5052726),1319
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ed,184,Zero Branco,Temperatura aria a 2m,2024-05-27T00:00:00,20.7,14,27.4,20.7,POINT (1747670 5053495),1366
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ee,71,San Giovanni Ilarione,Temperatura aria a 2m,2024-05-27T00:00:00,19.3,11.8,25,19.3,POINT (1673701 5046294),1960
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ef,73,Contra' Doppio (Posina),Temperatura aria a 2m,2024-05-27T00:00:00,16.2,10.7,23.1,16.2,POINT (1672922.125 5075033.113),1972
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f0,74,Monte Verena,Temperatura aria a 2m,2024-05-27T00:00:00,7.8,5.7,11,7.8,POINT (1687174.398 5089191.197),3446
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f1,187,Roncade,Temperatura aria a 2m,2024-05-27T00:00:00,20.3,12.2,27.2,20.3,POINT (1764673 5059839),1415
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f2,188,Villorba,Temperatura aria a 2m,2024-05-27T00:00:00,20.9,13.7,28.4,20.9,POINT (1751649 5071267),1432
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f3,189,Valdobbiadene - Bigolino,Temperatura aria a 2m,2024-05-27T00:00:00,20.4,14,25.7,20.4,POINT (1733368 5085364),1449
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f4,191,Molini (Laghi),Temperatura aria a 2m,2024-05-27T00:00:00,16.1,10.6,21.5,16.1,POINT (1675242 5078025),2222
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f5,192,Passo Xomo (Posina),Temperatura aria a 2m,2024-05-27T00:00:00,14.5,10.5,18.4,14.5,POINT (1673988 5071814),2226
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f6,195,Farra di Soligo,Temperatura aria a 2m,2024-05-27T00:00:00,19.9,12.8,25.7,19.9,POINT (1740836 5087883),1466
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f7,200,Lamon - Sala,Temperatura aria a 2m,2024-05-27T00:00:00,16.6,11.2,22.9,16.6,POINT (1712502 5103278),2246
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f8,203,Passo Valles,Temperatura aria a 2m,2024-05-27T00:00:00,7.4,4.3,11.7,7.4,POINT (1715631 5135568),2258
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78f9,211,Codevigo - Ca' di Mezzo,Temperatura aria a 2m,2024-05-27T00:00:00,20.8,15.6,25.6,20.8,POINT (1746929 5012991),1540
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78fa,77,Recoaro Mille,Temperatura aria a 2m,2024-05-27T00:00:00,15.1,11.8,18.8,15.1,POINT (1673345 5060968),1992
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78fb,79,Valdagno,Temperatura aria a 2m,2024-05-27T00:00:00,20.1,12.6,26.5,20.1,POINT (1679975 5055697),2046
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78fc,230,Campagna Lupia - Valle Averto,Temperatura aria a 2m,2024-05-27T00:00:00,20.7,14.1,25.2,20.7,POINT (1746123 5026591),2014
